image_id,image_path,label_type,label_path,raw_label_path
0001,images/0001.jpg,pixel-level,pixel_level_labels_colored/0001.png,pixel_level_labels_mat/0001.mat
0002,images/0002.jpg,pixel-level,pixel_level_labels_colored/0002.png,pixel_level_labels_mat/0002.mat
0003,images/0003.jpg,pixel-level,pixel_level_labels_colored/0003.png,pixel_level_labels_mat/0003.mat
0004,images/0004.jpg,pixel-level,pixel_level_labels_colored/0004.png,pixel_level_labels_mat/0004.mat
0005,images/0005.jpg,pixel-level,pixel_level_labels_colored/0005.png,pixel_level_labels_mat/0005.mat
0006,images/0006.jpg,pixel-level,pixel_level_labels_colored/0006.png,pixel_level_labels_mat/0006.mat
0007,images/0007.jpg,pixel-level,pixel_level_labels_colored/0007.png,pixel_level_labels_mat/0007.mat
0008,images/0008.jpg,pixel-level,pixel_level_labels_colored/0008.png,pixel_level_labels_mat/0008.mat
0009,images/0009.jpg,pixel-level,pixel_level_labels_colored/0009.png,pixel_level_labels_mat/0009.mat
0010,images/0010.jpg,pixel-level,pixel_level_labels_colored/0010.png,pixel_level_labels_mat/0010.mat
0011,images/0011.jpg,pixel-level,pixel_level_labels_colored/0011.png,pixel_level_labels_mat/0011.mat
0012,images/0012.jpg,pixel-level,pixel_level_labels_colored/0012.png,pixel_level_labels_mat/0012.mat
0013,images/0013.jpg,pixel-level,pixel_level_labels_colored/0013.png,pixel_level_labels_mat/0013.mat
0014,images/0014.jpg,pixel-level,pixel_level_labels_colored/0014.png,pixel_level_labels_mat/0014.mat
0015,images/0015.jpg,pixel-level,pixel_level_labels_colored/0015.png,pixel_level_labels_mat/0015.mat
0016,images/0016.jpg,pixel-level,pixel_level_labels_colored/0016.png,pixel_level_labels_mat/0016.mat
0017,images/0017.jpg,pixel-level,pixel_level_labels_colored/0017.png,pixel_level_labels_mat/0017.mat
0018,images/0018.jpg,pixel-level,pixel_level_labels_colored/0018.png,pixel_level_labels_mat/0018.mat
0019,images/0019.jpg,pixel-level,pixel_level_labels_colored/0019.png,pixel_level_labels_mat/0019.mat
0020,images/0020.jpg,pixel-level,pixel_level_labels_colored/0020.png,pixel_level_labels_mat/0020.mat
0021,images/0021.jpg,pixel-level,pixel_level_labels_colored/0021.png,pixel_level_labels_mat/0021.mat
0022,images/0022.jpg,pixel-level,pixel_level_labels_colored/0022.png,pixel_level_labels_mat/0022.mat
0023,images/0023.jpg,pixel-level,pixel_level_labels_colored/0023.png,pixel_level_labels_mat/0023.mat
0024,images/0024.jpg,pixel-level,pixel_level_labels_colored/0024.png,pixel_level_labels_mat/0024.mat
0025,images/0025.jpg,pixel-level,pixel_level_labels_colored/0025.png,pixel_level_labels_mat/0025.mat
0026,images/0026.jpg,pixel-level,pixel_level_labels_colored/0026.png,pixel_level_labels_mat/0026.mat
0027,images/0027.jpg,pixel-level,pixel_level_labels_colored/0027.png,pixel_level_labels_mat/0027.mat
0028,images/0028.jpg,pixel-level,pixel_level_labels_colored/0028.png,pixel_level_labels_mat/0028.mat
0029,images/0029.jpg,pixel-level,pixel_level_labels_colored/0029.png,pixel_level_labels_mat/0029.mat
0030,images/0030.jpg,pixel-level,pixel_level_labels_colored/0030.png,pixel_level_labels_mat/0030.mat
0031,images/0031.jpg,pixel-level,pixel_level_labels_colored/0031.png,pixel_level_labels_mat/0031.mat
0032,images/0032.jpg,pixel-level,pixel_level_labels_colored/0032.png,pixel_level_labels_mat/0032.mat
0033,images/0033.jpg,pixel-level,pixel_level_labels_colored/0033.png,pixel_level_labels_mat/0033.mat
0034,images/0034.jpg,pixel-level,pixel_level_labels_colored/0034.png,pixel_level_labels_mat/0034.mat
0035,images/0035.jpg,pixel-level,pixel_level_labels_colored/0035.png,pixel_level_labels_mat/0035.mat
0036,images/0036.jpg,pixel-level,pixel_level_labels_colored/0036.png,pixel_level_labels_mat/0036.mat
0037,images/0037.jpg,pixel-level,pixel_level_labels_colored/0037.png,pixel_level_labels_mat/0037.mat
0038,images/0038.jpg,pixel-level,pixel_level_labels_colored/0038.png,pixel_level_labels_mat/0038.mat
0039,images/0039.jpg,pixel-level,pixel_level_labels_colored/0039.png,pixel_level_labels_mat/0039.mat
0040,images/0040.jpg,pixel-level,pixel_level_labels_colored/0040.png,pixel_level_labels_mat/0040.mat
0041,images/0041.jpg,pixel-level,pixel_level_labels_colored/0041.png,pixel_level_labels_mat/0041.mat
0042,images/0042.jpg,pixel-level,pixel_level_labels_colored/0042.png,pixel_level_labels_mat/0042.mat
0043,images/0043.jpg,pixel-level,pixel_level_labels_colored/0043.png,pixel_level_labels_mat/0043.mat
0044,images/0044.jpg,pixel-level,pixel_level_labels_colored/0044.png,pixel_level_labels_mat/0044.mat
0045,images/0045.jpg,pixel-level,pixel_level_labels_colored/0045.png,pixel_level_labels_mat/0045.mat
